rule_id,importance,rule_name,boc_priority
100560,0.03571428571428572,BB:BehaviorDefinition: Multiple File Deletions on Endpoint System,1
100601,0.0019406917559988482,BB:BehaviorDefinition: Regular Endpoint Administration,1
100215,0.25000000000000006,Context is Local to Local,0
100221,0.14285714285714288,Destination Asset Weight is Low,0
100119,0.07142857142857144,BB:CategoryDefinition: Post Exploit Account Activity,0
100196,0.07142857142857144,BB:PortDefinition: Syslog Ports,0
100217,0.07142857142857144,Context is Remote to Local,0
100225,0.07142857142857144,Source Asset Exists,0
100273,0.07142857142857144,BB:CategoryDefinition: Logout Events,0
100101,0.062414422638064904,BB:NetworkDefinition: Honeypot like Addresses,0
