rule_id,importance,rule_name
100218,0.11678832116788318,Destination Asset Exists
100221,0.09489051094890508,Destination Asset Weight is Low
100216,0.07299270072992699,Context is Local to Remote
100215,0.07299270072992699,Context is Local to Local
100272,0.0656934306569343,Load Basic Building Blocks
100225,0.05839416058394159,Source Asset Exists
100217,0.05839416058394159,Context is Remote to Local
100277,0.05839416058394159,BB:NetworkDefinition: Darknet Addresses
100101,0.05655185280194026,BB:NetworkDefinition: Honeypot like Addresses
100119,0.05109489051094889,BB:CategoryDefinition: Post Exploit Account Activity
100276,0.05109489051094889,BB:CategoryDefinition: System Configuration
100227,0.05069825277979584,Source Asset Weight is Low
100223,0.0437956204379562,Source Address is a Bogon IP
100273,0.029197080291970795,BB:CategoryDefinition: Logout Events
100265,0.029197080291970795,BB:DeviceDefinition: Operating System
100601,0.02229444795013115,BB:BehaviorDefinition: Regular Endpoint Administration
100196,0.0218978102189781,BB:PortDefinition: Syslog Ports
100560,0.014598540145985398,BB:BehaviorDefinition: Multiple File Deletions on Endpoint System
100005,0.014598540145985398,BB:CategoryDefinition: Authentication Success
100297,0.009141577854994034,BB:PortDefinition: Authorized L2R Ports
