sysmon_hostname (custom),Custom Rule,Log Source Time (Minimum),Count
"192.168.153.166","100265","Aug 08, 2025, 10:47:54 AM","1228.0"
"192.168.153.166","100215","Aug 08, 2025, 10:47:54 AM","1228.0"
"192.168.153.166","100221","Aug 08, 2025, 10:47:54 AM","1228.0"
"192.168.153.166","100218","Aug 08, 2025, 10:47:54 AM","1228.0"
"192.168.153.166","100227","Aug 08, 2025, 10:47:54 AM","1228.0"
"192.168.153.166","100225","Aug 08, 2025, 10:47:54 AM","1228.0"
"192.168.153.166","100272","Aug 08, 2025, 10:47:54 AM","1211.0"
"DESKTOP-64-EDR","100221","Aug 08, 2025, 10:47:48 AM","975.0"
"DESKTOP-64-EDR","100227","Aug 08, 2025, 10:47:48 AM","975.0"
"DESKTOP-64-EDR","100225","Aug 08, 2025, 10:47:48 AM","973.0"
"DESKTOP-64-EDR","100265","Aug 08, 2025, 10:47:48 AM","970.0"
"DESKTOP-64-EDR","100215","Aug 08, 2025, 10:47:48 AM","953.0"
"DESKTOP-64-EDR","100218","Aug 08, 2025, 10:47:48 AM","951.0"
"192.168.153.166","100005","Aug 08, 2025, 10:47:54 AM","887.0"
"DESKTOP-64-EDR","100634","Aug 08, 2025, 10:48:28 AM","530.0"
"DESKTOP-64-EDR","100272","Aug 08, 2025, 10:47:48 AM","528.0"
"192.168.153.166","100119","Aug 08, 2025, 10:47:54 AM","355.0"
"192.168.153.166","100273","Aug 08, 2025, 10:48:14 AM","324.0"
"DESKTOP-64-EDR","100097","Aug 08, 2025, 10:48:29 AM","319.0"
"DESKTOP-64-EDR","100118","Aug 08, 2025, 10:48:29 AM","319.0"
"N/A","100227","Aug 08, 2025, 10:48:20 AM","268.0"
"N/A","100225","Aug 08, 2025, 10:48:20 AM","268.0"
"N/A","100221","Aug 08, 2025, 10:48:20 AM","268.0"
"N/A","100215","Aug 08, 2025, 10:48:20 AM","268.0"
"N/A","100218","Aug 08, 2025, 10:48:31 AM","266.0"
"DESKTOP-64-EDR","100276","Aug 08, 2025, 10:47:48 AM","184.0"
"DESKTOP-64-EDR","100601","Aug 08, 2025, 10:47:48 AM","140.0"
"DESKTOP-64-EDR","100560","Aug 08, 2025, 10:47:48 AM","140.0"
"DESKTOP-64-EDR","100425","Aug 08, 2025, 10:48:14 AM","35.0"
"DESKTOP-64-EDR","100702","Aug 08, 2025, 10:48:14 AM","27.0"
"DESKTOP-64-EDR","100395","Aug 08, 2025, 10:47:53 AM","24.0"
"DESKTOP-64-EDR","100103","Aug 08, 2025, 10:47:53 AM","24.0"
"DESKTOP-64-EDR","100297","Aug 08, 2025, 10:47:53 AM","20.0"
"DESKTOP-64-EDR","100216","Aug 08, 2025, 10:47:53 AM","20.0"
"DESKTOP-64-EDR","100712","Aug 08, 2025, 10:48:28 AM","19.0"
"DESKTOP-64-EDR","100711","Aug 08, 2025, 10:48:28 AM","19.0"
"DESKTOP-64-EDR","100717","Aug 08, 2025, 10:48:16 AM","17.0"
"DESKTOP-64-EDR","100030","Aug 08, 2025, 10:47:53 AM","15.0"
"N/A","100272","Aug 08, 2025, 10:48:42 AM","9.0"
"N/A","100117","Aug 08, 2025, 10:48:42 AM","9.0"
"N/A","100097","Aug 08, 2025, 10:48:42 AM","9.0"
"192.168.153.166","100117","Aug 08, 2025, 10:48:30 AM","9.0"
"DESKTOP-64-EDR","100636","Aug 08, 2025, 10:48:28 AM","8.0"
"DESKTOP-64-EDR","100277","Aug 08, 2025, 10:47:53 AM","7.0"
"DESKTOP-64-EDR","100607","Aug 08, 2025, 10:48:16 AM","7.0"
"DESKTOP-64-EDR","100013","Aug 08, 2025, 10:47:53 AM","5.0"
"DESKTOP-64-EDR","100101","Aug 08, 2025, 10:47:53 AM","5.0"
"DESKTOP-64-EDR","100721","Aug 08, 2025, 10:48:56 AM","4.0"
"DESKTOP-64-EDR","100217","Aug 08, 2025, 10:51:27 AM","2.0"
"DESKTOP-64-EDR","100223","Aug 08, 2025, 10:51:27 AM","2.0"
"DESKTOP-64-EDR","100196","Aug 08, 2025, 10:48:21 AM","2.0"
"DESKTOP-64-EDR","100164","Aug 08, 2025, 10:49:03 AM","1.0"
"DESKTOP-64-EDR","100146","Aug 08, 2025, 10:49:03 AM","1.0"
