Custom Rule,Log Source (Unique Count),Log Source Time (Minimum),sysmon_hostname (custom) (Unique Count),Count
"100221","DESKTOP-64-EDR","Aug 08, 2025, 9:07:50 AM","DESKTOP-64-EDR","5661.0"
"100227","DESKTOP-64-EDR","Aug 08, 2025, 9:07:50 AM","DESKTOP-64-EDR","5661.0"
"100225","DESKTOP-64-EDR","Aug 08, 2025, 9:07:50 AM","DESKTOP-64-EDR","5660.0"
"100265","DESKTOP-64-EDR","Aug 08, 2025, 9:07:50 AM","DESKTOP-64-EDR","5658.0"
"100215","DESKTOP-64-EDR","Aug 08, 2025, 9:07:50 AM","DESKTOP-64-EDR","5634.0"
"100218","DESKTOP-64-EDR","Aug 08, 2025, 9:07:50 AM","DESKTOP-64-EDR","5632.0"
"100272","DESKTOP-64-EDR","Aug 08, 2025, 9:07:50 AM","DESKTOP-64-EDR","4801.0"
"100634","DESKTOP-64-EDR","Aug 08, 2025, 9:08:38 AM","DESKTOP-64-EDR","4792.0"
"100097","DESKTOP-64-EDR","Aug 08, 2025, 9:08:38 AM","DESKTOP-64-EDR","4401.0"
"100118","DESKTOP-64-EDR","Aug 08, 2025, 9:08:38 AM","DESKTOP-64-EDR","4401.0"
"100265","DESKTOP-64-EDR","Aug 08, 2025, 9:07:55 AM","192.168.153.166","1870.0"
"100215","DESKTOP-64-EDR","Aug 08, 2025, 9:07:55 AM","192.168.153.166","1870.0"
"100221","DESKTOP-64-EDR","Aug 08, 2025, 9:07:55 AM","192.168.153.166","1870.0"
"100218","DESKTOP-64-EDR","Aug 08, 2025, 9:07:55 AM","192.168.153.166","1870.0"
"100227","DESKTOP-64-EDR","Aug 08, 2025, 9:07:55 AM","192.168.153.166","1870.0"
"100225","DESKTOP-64-EDR","Aug 08, 2025, 9:07:55 AM","192.168.153.166","1870.0"
"100272","DESKTOP-64-EDR","Aug 08, 2025, 9:07:55 AM","192.168.153.166","1869.0"
"100227","Asset Profiler-2 :: PSIEHKLAPP01","Aug 08, 2025, 9:08:10 AM","N/A","1425.0"
"100221","Asset Profiler-2 :: PSIEHKLAPP01","Aug 08, 2025, 9:08:10 AM","N/A","1425.0"
"100225","WinCollect @ DESKTOP-64-EDR","Aug 08, 2025, 9:08:10 AM","N/A","1424.0"
"100215","WinCollect @ DESKTOP-64-EDR","Aug 08, 2025, 9:08:10 AM","N/A","1424.0"
"100218","SIM Generic Log DSM-7 :: PSIEHKLAPP01","Aug 08, 2025, 9:08:53 AM","N/A","1422.0"
"100005","DESKTOP-64-EDR","Aug 08, 2025, 9:07:55 AM","192.168.153.166","1333.0"
"100273","DESKTOP-64-EDR","Aug 08, 2025, 9:08:23 AM","192.168.153.166","536.0"
"100119","DESKTOP-64-EDR","Aug 08, 2025, 9:07:55 AM","192.168.153.166","534.0"
"100276","DESKTOP-64-EDR","Aug 08, 2025, 9:07:50 AM","DESKTOP-64-EDR","370.0"
"100601","DESKTOP-64-EDR","Aug 08, 2025, 9:07:50 AM","DESKTOP-64-EDR","261.0"
"100560","DESKTOP-64-EDR","Aug 08, 2025, 9:07:50 AM","DESKTOP-64-EDR","260.0"
"100702","DESKTOP-64-EDR","Aug 08, 2025, 9:08:21 AM","DESKTOP-64-EDR","54.0"
"100425","DESKTOP-64-EDR","Aug 08, 2025, 9:08:23 AM","DESKTOP-64-EDR","49.0"
"100712","DESKTOP-64-EDR","Aug 08, 2025, 9:08:38 AM","DESKTOP-64-EDR","44.0"
"100717","DESKTOP-64-EDR","Aug 08, 2025, 9:08:26 AM","DESKTOP-64-EDR","37.0"
"100395","DESKTOP-64-EDR","Aug 08, 2025, 9:08:11 AM","DESKTOP-64-EDR","29.0"
"100607","DESKTOP-64-EDR","Aug 08, 2025, 9:08:26 AM","DESKTOP-64-EDR","29.0"
"100103","DESKTOP-64-EDR","Aug 08, 2025, 9:08:11 AM","DESKTOP-64-EDR","29.0"
"100402","DESKTOP-64-EDR","Aug 08, 2025, 9:09:14 AM","DESKTOP-64-EDR","27.0"
"100297","DESKTOP-64-EDR","Aug 08, 2025, 9:08:29 AM","DESKTOP-64-EDR","26.0"
"100216","DESKTOP-64-EDR","Aug 08, 2025, 9:08:29 AM","DESKTOP-64-EDR","26.0"
"100030","DESKTOP-64-EDR","Aug 08, 2025, 9:08:29 AM","DESKTOP-64-EDR","22.0"
"100711","DESKTOP-64-EDR","Aug 08, 2025, 9:09:53 AM","DESKTOP-64-EDR","19.0"
"100272","Asset Profiler-2 :: PSIEHKLAPP01","Aug 08, 2025, 9:08:53 AM","N/A","9.0"
"100277","DESKTOP-64-EDR","Aug 08, 2025, 9:08:34 AM","DESKTOP-64-EDR","7.0"
"100117","Custom Rule Engine-8 :: PSIEHKLAPP01","Aug 08, 2025, 9:08:53 AM","N/A","6.0"
"100097","Custom Rule Engine-8 :: PSIEHKLAPP01","Aug 08, 2025, 9:08:53 AM","N/A","6.0"
"100117","DESKTOP-64-EDR","Aug 08, 2025, 9:08:41 AM","192.168.153.166","6.0"
