sysmon_hostname (custom),Custom Rule,Log Source Time (Minimum),Count
"DESKTOP-64-EDR","100221","Aug 08, 2025, 10:32:51 AM","3429.0"
"DESKTOP-64-EDR","100227","Aug 08, 2025, 10:32:51 AM","3429.0"
"DESKTOP-64-EDR","100225","Aug 08, 2025, 10:32:51 AM","3428.0"
"DESKTOP-64-EDR","100215","Aug 08, 2025, 10:32:51 AM","3409.0"
"DESKTOP-64-EDR","100218","Aug 08, 2025, 10:32:51 AM","3407.0"
"DESKTOP-64-EDR","100265","Aug 08, 2025, 10:32:51 AM","2548.0"
"DESKTOP-64-EDR","100272","Aug 08, 2025, 10:32:52 AM","2169.0"
"DESKTOP-64-EDR","100634","Aug 08, 2025, 10:34:04 AM","2011.0"
"DESKTOP-64-EDR","100097","Aug 08, 2025, 10:34:04 AM","1974.0"
"DESKTOP-64-EDR","100118","Aug 08, 2025, 10:34:04 AM","1974.0"
"192.168.153.166","100265","Aug 08, 2025, 10:32:49 AM","1838.0"
"192.168.153.166","100215","Aug 08, 2025, 10:32:49 AM","1838.0"
"192.168.153.166","100221","Aug 08, 2025, 10:32:49 AM","1838.0"
"192.168.153.166","100218","Aug 08, 2025, 10:32:49 AM","1838.0"
"192.168.153.166","100227","Aug 08, 2025, 10:32:49 AM","1838.0"
"192.168.153.166","100225","Aug 08, 2025, 10:32:49 AM","1838.0"
"192.168.153.166","100272","Aug 08, 2025, 10:32:49 AM","1811.0"
"DESKTOP-64-EDR","100636","Aug 08, 2025, 10:34:04 AM","1760.0"
"192.168.153.166","100005","Aug 08, 2025, 10:32:49 AM","1300.0"
"192.168.153.166","100119","Aug 08, 2025, 10:32:49 AM","521.0"
"192.168.153.166","100273","Aug 08, 2025, 10:32:49 AM","511.0"
"DESKTOP-64-EDR","100276","Aug 08, 2025, 10:32:52 AM","173.0"
"DESKTOP-64-EDR","100601","Aug 08, 2025, 10:32:52 AM","150.0"
"DESKTOP-64-EDR","100560","Aug 08, 2025, 10:32:52 AM","147.0"
"N/A","100227","Aug 08, 2025, 10:33:19 AM","141.0"
"N/A","100225","Aug 08, 2025, 10:33:19 AM","141.0"
"N/A","100221","Aug 08, 2025, 10:33:19 AM","141.0"
"N/A","100215","Aug 08, 2025, 10:33:19 AM","141.0"
"N/A","100218","Aug 08, 2025, 10:34:07 AM","139.0"
"DESKTOP-64-EDR","100702","Aug 08, 2025, 10:32:51 AM","46.0"
"DESKTOP-64-EDR","100425","Aug 08, 2025, 10:32:51 AM","40.0"
"DESKTOP-64-EDR","100717","Aug 08, 2025, 10:32:54 AM","34.0"
"DESKTOP-64-EDR","100607","Aug 08, 2025, 10:32:54 AM","31.0"
"DESKTOP-64-EDR","100395","Aug 08, 2025, 10:32:57 AM","22.0"
"DESKTOP-64-EDR","100103","Aug 08, 2025, 10:32:57 AM","22.0"
"DESKTOP-64-EDR","100297","Aug 08, 2025, 10:32:57 AM","19.0"
"DESKTOP-64-EDR","100216","Aug 08, 2025, 10:32:57 AM","19.0"
"DESKTOP-64-EDR","100711","Aug 08, 2025, 10:32:57 AM","18.0"
"DESKTOP-64-EDR","100030","Aug 08, 2025, 10:32:57 AM","17.0"
"DESKTOP-64-EDR","100712","Aug 08, 2025, 10:32:57 AM","16.0"
"N/A","100272","Aug 08, 2025, 10:34:11 AM","7.0"
"DESKTOP-64-EDR","100277","Aug 08, 2025, 10:34:51 AM","5.0"
"N/A","100104","Aug 08, 2025, 10:38:57 AM","4.0"
"DESKTOP-64-EDR","100633","Aug 08, 2025, 10:38:51 AM","4.0"
"DESKTOP-64-EDR","100101","Aug 08, 2025, 10:34:51 AM","4.0"
"N/A","100117","Aug 08, 2025, 10:34:11 AM","3.0"
"N/A","100097","Aug 08, 2025, 10:34:11 AM","3.0"
"192.168.153.166","100117","Aug 08, 2025, 10:34:04 AM","3.0"
"DESKTOP-64-EDR","100714","Aug 08, 2025, 10:33:49 AM","3.0"
"DESKTOP-64-EDR","100630","Aug 08, 2025, 10:34:47 AM","3.0"
"DESKTOP-64-EDR","100421","Aug 08, 2025, 10:34:58 AM","2.0"
"DESKTOP-64-EDR","100402","Aug 08, 2025, 10:34:58 AM","2.0"
"DESKTOP-64-EDR","100625","Aug 08, 2025, 10:38:51 AM","2.0"
"DESKTOP-64-EDR","100544","Aug 08, 2025, 10:34:58 AM","2.0"
"DESKTOP-64-EDR","100013","Aug 08, 2025, 10:35:40 AM","2.0"
"DESKTOP-64-EDR","100518","Aug 08, 2025, 10:38:51 AM","2.0"
"DESKTOP-64-EDR","100526","Aug 08, 2025, 10:34:55 AM","2.0"
"DESKTOP-64-EDR","100520","Aug 08, 2025, 10:38:51 AM","2.0"
"N/A","100520","Aug 08, 2025, 10:38:57 AM","2.0"
"N/A","100518","Aug 08, 2025, 10:38:57 AM","2.0"
"DESKTOP-64-EDR","100196","Aug 08, 2025, 10:33:21 AM","2.0"
"N/A","100421","Aug 08, 2025, 10:35:03 AM","2.0"
"DESKTOP-64-EDR","100563","Aug 08, 2025, 10:35:26 AM","1.0"
"DESKTOP-64-EDR","100217","Aug 08, 2025, 10:35:20 AM","1.0"
"DESKTOP-64-EDR","100223","Aug 08, 2025, 10:35:20 AM","1.0"
"N/A","100402","Aug 08, 2025, 10:35:03 AM","1.0"
