sysmon_hostname (custom),Custom Rule,Log Source Time (Minimum),Count
"192.168.153.166","100265","Aug 08, 2025, 10:43:53 AM","1015.0"
"192.168.153.166","100272","Aug 08, 2025, 10:43:53 AM","1015.0"
"192.168.153.166","100215","Aug 08, 2025, 10:43:53 AM","1015.0"
"192.168.153.166","100221","Aug 08, 2025, 10:43:53 AM","1015.0"
"192.168.153.166","100218","Aug 08, 2025, 10:43:53 AM","1015.0"
"192.168.153.166","100227","Aug 08, 2025, 10:43:53 AM","1015.0"
"192.168.153.166","100225","Aug 08, 2025, 10:43:53 AM","1015.0"
"192.168.153.166","100005","Aug 08, 2025, 10:43:53 AM","713.0"
"DESKTOP-64-EDR","100221","Aug 08, 2025, 10:43:54 AM","367.0"
"DESKTOP-64-EDR","100227","Aug 08, 2025, 10:43:54 AM","367.0"
"DESKTOP-64-EDR","100225","Aug 08, 2025, 10:43:54 AM","367.0"
"DESKTOP-64-EDR","100265","Aug 08, 2025, 10:43:54 AM","366.0"
"DESKTOP-64-EDR","100218","Aug 08, 2025, 10:43:54 AM","352.0"
"DESKTOP-64-EDR","100215","Aug 08, 2025, 10:43:54 AM","352.0"
"192.168.153.166","100273","Aug 08, 2025, 10:44:51 AM","302.0"
"192.168.153.166","100119","Aug 08, 2025, 10:43:53 AM","285.0"
"DESKTOP-64-EDR","100272","Aug 08, 2025, 10:43:54 AM","115.0"
"DESKTOP-64-EDR","100276","Aug 08, 2025, 10:43:54 AM","91.0"
"DESKTOP-64-EDR","100601","Aug 08, 2025, 10:43:54 AM","78.0"
"DESKTOP-64-EDR","100560","Aug 08, 2025, 10:43:54 AM","73.0"
"DESKTOP-64-EDR","100425","Aug 08, 2025, 10:45:19 AM","31.0"
"DESKTOP-64-EDR","100717","Aug 08, 2025, 10:45:22 AM","23.0"
"DESKTOP-64-EDR","100607","Aug 08, 2025, 10:45:22 AM","16.0"
"DESKTOP-64-EDR","100634","Aug 08, 2025, 10:45:41 AM","16.0"
"DESKTOP-64-EDR","100297","Aug 08, 2025, 10:44:42 AM","15.0"
"DESKTOP-64-EDR","100395","Aug 08, 2025, 10:44:42 AM","15.0"
"DESKTOP-64-EDR","100216","Aug 08, 2025, 10:44:42 AM","15.0"
"DESKTOP-64-EDR","100103","Aug 08, 2025, 10:44:42 AM","15.0"
"DESKTOP-64-EDR","100030","Aug 08, 2025, 10:44:43 AM","13.0"
"DESKTOP-64-EDR","100712","Aug 08, 2025, 10:45:34 AM","13.0"
"DESKTOP-64-EDR","100711","Aug 08, 2025, 10:45:34 AM","13.0"
"DESKTOP-64-EDR","100702","Aug 08, 2025, 10:44:09 AM","12.0"
"DESKTOP-64-EDR","100097","Aug 08, 2025, 10:45:42 AM","9.0"
"DESKTOP-64-EDR","100118","Aug 08, 2025, 10:45:42 AM","9.0"
"N/A","100272","Aug 08, 2025, 10:45:57 AM","7.0"
"N/A","100227","Aug 08, 2025, 10:45:57 AM","7.0"
"N/A","100225","Aug 08, 2025, 10:45:57 AM","7.0"
"N/A","100221","Aug 08, 2025, 10:45:57 AM","7.0"
"N/A","100218","Aug 08, 2025, 10:45:57 AM","7.0"
"N/A","100215","Aug 08, 2025, 10:45:57 AM","7.0"
"DESKTOP-64-EDR","100633","Aug 08, 2025, 10:45:53 AM","7.0"
"N/A","100104","Aug 08, 2025, 10:45:58 AM","4.0"
"DESKTOP-64-EDR","100277","Aug 08, 2025, 10:44:43 AM","3.0"
"N/A","100117","Aug 08, 2025, 10:45:57 AM","3.0"
"N/A","100097","Aug 08, 2025, 10:45:57 AM","3.0"
"192.168.153.166","100117","Aug 08, 2025, 10:45:44 AM","3.0"
"DESKTOP-64-EDR","100544","Aug 08, 2025, 10:46:09 AM","3.0"
"DESKTOP-64-EDR","100101","Aug 08, 2025, 10:44:43 AM","3.0"
"DESKTOP-64-EDR","100625","Aug 08, 2025, 10:45:53 AM","2.0"
"DESKTOP-64-EDR","100013","Aug 08, 2025, 10:44:42 AM","2.0"
"DESKTOP-64-EDR","100518","Aug 08, 2025, 10:45:53 AM","2.0"
"DESKTOP-64-EDR","100520","Aug 08, 2025, 10:45:53 AM","2.0"
"N/A","100520","Aug 08, 2025, 10:45:58 AM","2.0"
"N/A","100518","Aug 08, 2025, 10:45:58 AM","2.0"
"DESKTOP-64-EDR","100628","Aug 08, 2025, 10:45:53 AM","2.0"
"DESKTOP-64-EDR","100636","Aug 08, 2025, 10:45:50 AM","2.0"
"DESKTOP-64-EDR","100578","Aug 08, 2025, 10:45:50 AM","1.0"
"DESKTOP-64-EDR","100563","Aug 08, 2025, 10:46:18 AM","1.0"
"DESKTOP-64-EDR","100629","Aug 08, 2025, 10:46:10 AM","1.0"
"DESKTOP-64-EDR","100630","Aug 08, 2025, 10:45:53 AM","1.0"
"DESKTOP-64-EDR","100627","Aug 08, 2025, 10:46:12 AM","1.0"
