Custom Rule,Log Source (Unique Count),Log Source Time (Minimum),sysmon_hostname (custom) (Unique Count),Count
"100221","DESKTOP-64-EDR","Aug 08, 2025, 9:43:56 AM","DESKTOP-64-EDR","8264.0"
"100227","DESKTOP-64-EDR","Aug 08, 2025, 9:43:56 AM","DESKTOP-64-EDR","8264.0"
"100225","DESKTOP-64-EDR","Aug 08, 2025, 9:43:56 AM","DESKTOP-64-EDR","8260.0"
"100215","DESKTOP-64-EDR","Aug 08, 2025, 9:43:56 AM","DESKTOP-64-EDR","8145.0"
"100218","DESKTOP-64-EDR","Aug 08, 2025, 9:43:56 AM","DESKTOP-64-EDR","8102.0"
"100265","DESKTOP-64-EDR","Aug 08, 2025, 9:43:56 AM","DESKTOP-64-EDR","6990.0"
"100272","DESKTOP-64-EDR","Aug 08, 2025, 9:43:56 AM","DESKTOP-64-EDR","5586.0"
"100634","DESKTOP-64-EDR","Aug 08, 2025, 9:44:25 AM","DESKTOP-64-EDR","4868.0"
"100097","DESKTOP-64-EDR","Aug 08, 2025, 9:44:26 AM","DESKTOP-64-EDR","4531.0"
"100118","DESKTOP-64-EDR","Aug 08, 2025, 9:44:26 AM","DESKTOP-64-EDR","4531.0"
"100265","DESKTOP-64-EDR","Aug 08, 2025, 9:43:59 AM","192.168.153.166","2956.0"
"100215","DESKTOP-64-EDR","Aug 08, 2025, 9:43:59 AM","192.168.153.166","2956.0"
"100221","DESKTOP-64-EDR","Aug 08, 2025, 9:43:59 AM","192.168.153.166","2956.0"
"100218","DESKTOP-64-EDR","Aug 08, 2025, 9:43:59 AM","192.168.153.166","2956.0"
"100227","DESKTOP-64-EDR","Aug 08, 2025, 9:43:59 AM","192.168.153.166","2956.0"
"100225","DESKTOP-64-EDR","Aug 08, 2025, 9:43:59 AM","192.168.153.166","2956.0"
"100272","DESKTOP-64-EDR","Aug 08, 2025, 9:43:59 AM","192.168.153.166","2838.0"
"100636","DESKTOP-64-EDR","Aug 08, 2025, 9:44:39 AM","DESKTOP-64-EDR","2548.0"
"100005","DESKTOP-64-EDR","Aug 08, 2025, 9:43:59 AM","192.168.153.166","2029.0"
"100227","WinCollect @ DESKTOP-64-EDR","Aug 08, 2025, 9:44:39 AM","N/A","1197.0"
"100221","WinCollect @ DESKTOP-64-EDR","Aug 08, 2025, 9:44:39 AM","N/A","1197.0"
"100225","WinCollect @ DESKTOP-64-EDR","Aug 08, 2025, 9:44:39 AM","N/A","1195.0"
"100215","WinCollect @ DESKTOP-64-EDR","Aug 08, 2025, 9:44:39 AM","N/A","1195.0"
"100218","Custom Rule Engine-8 :: PSIEHKLAPP01","Aug 08, 2025, 9:44:39 AM","N/A","1191.0"
"100276","DESKTOP-64-EDR","Aug 08, 2025, 9:43:56 AM","DESKTOP-64-EDR","877.0"
"100119","DESKTOP-64-EDR","Aug 08, 2025, 9:43:59 AM","192.168.153.166","815.0"
"100273","DESKTOP-64-EDR","Aug 08, 2025, 9:44:10 AM","192.168.153.166","806.0"
"100601","DESKTOP-64-EDR","Aug 08, 2025, 9:43:56 AM","DESKTOP-64-EDR","653.0"
"100560","DESKTOP-64-EDR","Aug 08, 2025, 9:43:56 AM","DESKTOP-64-EDR","647.0"
"100395","DESKTOP-64-EDR","Aug 08, 2025, 9:44:10 AM","DESKTOP-64-EDR","178.0"
"100103","DESKTOP-64-EDR","Aug 08, 2025, 9:44:10 AM","DESKTOP-64-EDR","178.0"
"100297","DESKTOP-64-EDR","Aug 08, 2025, 9:44:10 AM","DESKTOP-64-EDR","124.0"
"100216","DESKTOP-64-EDR","Aug 08, 2025, 9:44:10 AM","DESKTOP-64-EDR","116.0"
